Species	HomeRange
Acinonyx_jubatus	706.8413168
Acomys_subspinosus	0.002266667
Aepyceros_melampus	6.373105769
Ailuropoda_melanoleuca	4.626058763
Ailurus_fulgens	1.155377385
Akodon_azarae	0.000349737
Akodon_cursor	0.0025
Alcelaphus_buselaphus	3.245987941
Alces_alces	33.92995401
Allocebus_trichotis	0.058293976
Allochrocebus_lhoesti	0.530956522
Alouatta_caraya	0.195166667
Alouatta_guariba	0.242483333
Alouatta_palliata	0.369943478
Alouatta_pigra	0.110620879
Alouatta_seniculus	0.461613158
Ammospermophilus_leucurus	0.058678321
Ammospermophilus_nelsoni	0.0354662
Ammotragus_lervia	11.14714286
Amorphochilus_schnablii	0.217266667
Anomalurus_derbianus	0.03335
Antechinus_agilis	0.008758333
Antechinus_flavipes	0.0017
Antechinus_godmani	0.027
Antechinus_minimus	0.005233333
Antechinus_stuartii	0.017692642
Antechinus_swainsonii	0.004082148
Antidorcas_marsupialis	0.0769
Antilocapra_americana	370.2582131
Aonyx_capensis	1.485625
Aotus_azarae	0.075657895
Aotus_griseimembra	0.023666667
Aotus_lemurinus	0.03386
Aotus_miconax	0.005890909
Aplodontia_rufa	0.009070325
Apodemus_agrarius	0.013846143
Apodemus_argenteus	0.000795
Apodemus_flavicollis	0.005597385
Apodemus_peninsulae	0.008900849
Apodemus_semotus	0.0018375
Apodemus_speciosus	0.00320075
Apodemus_sylvaticus	0.301602436
Arborimus_longicaudus	0.001237944
Arctictis_binturong	2.89
Arctocephalus_gazella	41649.56222
Arctocephalus_tropicalis	43166.76504
Arvicanthis_niloticus	0.0064
Arvicola_amphibius	0.001940594
Arvicola_sapidus	0.000845725
Ateles_belzebuth	0.849487778
Ateles_chamek	0.697
Ateles_geoffroyi	0.752158237
Ateles_paniscus	2.55
Atilax_paludinosus	1.148284091
Avahi_laniger	0.014
Avahi_occidentalis	0.014615385
Axis_axis	1.467915935
Axis_porcinus	0.396853333
Baiomys_taylori	0.000509
Balaena_mysticetus	14561.33333
Balaenoptera_musculus	51175.5625
Barbastella_barbastellus	11.5794
Bassaricyon_medius	0.305
Bassariscus_astutus	1.716467742
Bassariscus_sumichrasti	0.12
Bathyergus_janetta	0.0008058
Bettongia_gaimardi	0.370801351
Bettongia_lesueur	0.503709877
Bettongia_penicillata	0.3918875
Bettongia_tropica	0.578210526
Bison_bison	548.4457714
Bison_bonasus	76.26018817
Blarina_brevicauda	0.003423885
Blarina_carolinensis	0.00959
Bos_gaurus	99.0296875
Bos_javanicus	30.70555556
Bos_primigenius	0.602666667
Bos_taurus	1.737387391
Boselaphus_tragocamelus	31.761
Brachylagus_idahoensis	2.252755455
Brachyteles_arachnoides	1.68
Brachyteles_hypoxanthus	1.197653488
Bradypus_torquatus	0.054835593
Bradypus_variegatus	0.030993333
Budorcas_taxicolor	11.26421053
Burramys_parvus	0.020457143
Callicebus_coimbrai	0.0745
Callicebus_nigrifrons	0.230857143
Callicebus_personatus	0.22
Callimico_goeldii	0.382042857
Callithrix_jacchus	0.024997674
Callithrix_kuhlii	0.436333333
Callosciurus_caniceps	0.0163
Callosciurus_erythraeus	0.035395833
Callosciurus_nigrovittatus	0.01715
Callosciurus_notatus	0.01307
Callospermophilus_lateralis	0.025140231
Calomys_callosus	0.001995
Calomys_musculinus	0.000341662
Calomys_venustus	0.00030625
Caluromys_philander	0.03525
Camelus_dromedarius	7130.655556
Canis_adustus	0.8468
Canis_aureus	15.68018288
Canis_latrans	46.28097403
Canis_lupus	2742.067925
Canis_mesomelas	62.31816
Canis_rufus	47.19727848
Canis_simensis	6.786097561
Capra_hircus	82.37668
Capra_ibex	4.07741436
Capra_pyrenaica	1.630812121
Capreolus_capreolus	0.626779864
Capreolus_pygargus	3
Capricornis_crispus	0.442592537
Caracal_caracal	116.6383333
Cardioderma_cor	0.020992857
Carlito_syrichta	0.037078261
Carollia_brevicauda	3.4
